Sample#,Scan#,Interval,ENERGY-RBK,IC1[V],IC2[V],IC3[V],TRANS,TransRef,If,FLUOR,ROI_0[c/s],ROI_1[c/s],ROI_2[c/s],ROI_3[c/s],ROI_4[c/s],ROI_5[c/s],ROI_6[c/s],ROI_7[c/s],e-time[sec],DEADTIME[%],INT_TIME[sec],OCR,ICR
1,1,3,8.798597066764536,0,0,3.190845180571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.798791312863186,0,0,3.1901160171428566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.799004068693009,0,0,3.1884797417142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.799198333240765,0,0,3.1875877851428567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.799401857926451,0,0,3.1866251599999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.799596140506534,0,0,3.1855339691428566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.799799684084531,0,0,3.184152100571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.799993984699427,0,0,3.185006594285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.800206800241734,0,0,3.184832221714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.80039186582454,0,0,3.186563005714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.80059544719498,0,0,3.1861187302857137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.800817546990793,0,0,3.1856148548571426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.80099338415754,0,0,3.186652746285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.801206249326087,0,0,3.185725881142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.801391358065121,0,0,3.186421668571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.801604242997053,0,0,3.1862561508571425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.801798625428969,0,0,3.1866951474285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.801993016675,0,0,3.1866951474285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.802196674101372,0,0,3.1862667085714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.802400341202626,0,0,3.1863538948571426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.802604017979439,0,0,3.186259386285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.802798445747433,0,0,3.186775352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.8029928823326,0,0,3.1861946777142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.80319658726039,0,0,3.1859089382857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.803391041901625,0,0,3.1851954411428567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.803604026151358,0,0,3.186177819428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.803807760115902,0,0,3.186868838857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.80399298121117,0,0,3.1875688834285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.80419673365685,0,0,3.187234272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.804400495784119,0,0,3.1876427874285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.804613530178708,0,0,3.1878083051428567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,8.804798786080976,0,0,3.1892300205714283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
